"Datum und Uhrzeit","PH Coesfelder Kreuz","PH Theater","PP Hörsterplatz","PH Alter Steinweg","Busparkplatz","PP Schlossplatz Nord","PP Schlossplatz Süd","PH Aegidii","PP Georgskommende","PH Münster Arkaden","PH Karstadt","PH Stubengasse","PH Bremer Platz","PH Engelenschanze","PH Bahnhofstraße","PH Cineplex","PH Stadthaus 3","PP Hafenmarkt","TG Hafenmarkt","Halle Münsterland P1"
"Anzahl Parkplätze gesamt","(1000)","(743)","(202)","(371)","(63)","(450)","(460)","(750)","(272)","(166)","(187)","(300)","(281)","(460)","(320)","(590)","(500)","(103)","(350)","(212)"
"2026-09-07 00:00","ges",649,"ges",364,"kei","ges","ges",689,"ges",164,170,234,68,208,217,500,412,"ges","ges",174
"2026-09-07 00:15","ges",649,"ges",364,"kei","ges","ges",689,"ges",164,170,234,69,208,217,500,412,"ges","ges",174
"2026-09-07 00:30","ges",649,"ges",364,"kei","ges","ges",690,"ges",164,170,235,71,208,217,500,412,"ges","ges",174
"2026-09-07 00:45","ges",649,"ges",364,"kei","ges","ges",690,"ges",164,170,235,72,208,217,500,412,"ges","ges",174
"2026-09-07 01:00","ges",649,"ges",364,"kei","ges","ges",690,"ges",164,170,235,71,208,217,500,411,"ges","ges",174
"2026-09-07 01:15","ges",649,"ges",364,"kei","ges","ges",690,"ges",164,170,235,71,208,217,500,411,"ges","ges",174
"2026-09-07 01:30","ges",649,"ges",364,"kei","ges","ges",690,"ges",164,170,235,70,208,217,500,411,"ges","ges",174
"2026-09-07 01:45","ges",649,"ges",364,"kei","ges","ges",690,"ges",164,170,235,70,208,217,500,412,"ges","ges",174
"2026-09-07 02:00","ges",649,"ges",364,"kei","ges","ges",690,"ges",164,170,235,70,208,217,500,412,"ges","ges",174
"2026-09-07 02:15","ges",649,"ges",364,"kei","ges","ges",690,"ges",164,170,235,70,208,217,500,412,"ges","ges",175
"2026-09-07 02:30","ges",649,"ges",364,"kei","ges","ges",690,"ges",164,170,235,70,208,217,500,412,"ges","ges",175
"2026-09-07 02:45","ges",649,"ges",364,"kei","ges","ges",690,"ges",164,170,235,70,208,217,500,412,"ges","ges",175
"2026-09-07 03:00","ges",649,"ges",364,"kei","ges","ges",690,"ges",164,170,235,69,208,217,500,412,"ges","ges",176
"2026-09-07 03:15","ges",649,"ges",364,"kei","ges","ges",690,"ges",164,170,235,69,208,217,500,412,"ges","ges",176
